id,ANYO_CONSTRUCCION,CODIGO_POSTAL,USO_EDIFICIO,MUNICIPIO,PROVINCIA,TIPO_REGISTRO,FICHERO_ORIGEN,CONSUMO_EP_VALOR
23809,2018.0,3178.0,VIVIENDA/S UNIFAMILIAR,BENIJÓFAR,ALICANTE,NUEVO,,47
34002,2007.0,3410.0,VIVIENDA INDIVIDUAL,BIAR,ALICANTE,EXISTE,certificacion-energetica-de-edificios-en-alicante.csv,165
40936,1996.0,3010.0,,ALICANTE/ALACANT,ALICANTE,EXISTE,certificacion-energetica-de-edificios-en-alicante.csv,89
41393,1975.0,46115.0,VIVIENDA INDIVIDUAL,ALFARA DEL PATRIARCA,VALENCIA,EXISTE,certificacion-energetica-de-edificios-en-valencia.csv,184
8708,2002.0,,VIVIENDA INDIVIDUAL,ROJALES,ALICANTE,EXISTE,certificacion-energetica-de-edificios-en-alicante.csv,296
44822,2005.0,46900.0,VIVIENDA INDIVIDUAL,TORRENT,VALENCIA,EXISTE,certificacion-energetica-de-edificios-en-valencia.csv,124
31431,2004.0,46910.0,VIVIENDA INDIVIDUAL,BENETÚSSER,VALENCIA,EXISTE,certificacion-energetica-de-edificios-en-valencia.csv,133
26510,2009.0,3502.0,VIVIENDA/S UNIFAMILIAR,BENIDORM,ALICANTE,EXISTE,certificacion-energetica-de-edificios-en-alicante.csv,39
25565,1982.0,46720.0,VIVIENDA/S UNIFAMILIAR,VILLALONGA,VALENCIA,  VALENCIA  ,certificacion-energetica-de-edificios-en-valencia.csv,178
6331,1989.0,3189.0,VIVIENDA INDIVIDUAL,,VALÈNCIA,EXISTE,certificacion-energetica-de-edificios-en-alicante.csv,224
16483,1964.0,46009.0,???,VALENCIA,VALENCIA,EXISTE,certificacion-energetica-de-edificios-en-valencia.csv,156
20804,1930.0,3360.0,VIVIENDA/S UNIFAMILIAR,CALLOSA DE SEGURA,,EXISTE,,367
8645,1988.0,46713.0,VIVIENDA INDIVIDUAL,BELLREGUARD,VALENCIA,EXISTE,certificacion-energetica-de-edificios-en-valencia.csv,150
17866,1920.0,46687.0,VIVIENDA/S UNIFAMILIAR,ALBALAT DE LA RIBERA,VALENCIA,EXISTE,certificacion-energetica-de-edificios-en-valencia.csv,178
27882,1981.0,46113.0,LOCAL COMERCIAL,MONCADA,VALENCIA,EXISTE,certificacion-energetica-de-edificios-en-valencia.csv,121
38988,1986.0,46021.0,VIVIENDA INDIVIDUAL,VALENCIA,VALENCIA,EXISTE,certificacion-energetica-de-edificios-en-valencia.csv,143
21858,0,3800.0,VIVIENDA INDIVIDUAL,ALCOY/ALCOI,ALICANTE,EXISTE,certificacion-energetica-de-edificios-en-alicante.csv,193
39029,2009.0,12006.0,VIVIENDA INDIVIDUAL,CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA,,EXISTE,certificacion-energetica-de-edificios-en-castellon.csv,98
29767,1967.0,46018.0,VIVIENDA INDIVIDUAL,,VALENCIA,EXISTE,certificacion-energetica-de-edificios-en-valencia.csv,128
2318,1961.0,46940.0,VIVIENDA INDIVIDUAL,MANISES,VALENCIA,EXISTE,,167
38014,1962.0,,VIVIENDA INDIVIDUAL,ALCOY/ALCOI,ALICANTE,,certificacion-energetica-de-edificios-en-alicante.csv,106
36699,1997.0,3182.0,VIVIENDA INDIVIDUAL,TORREVIEJA,ALICANTE,EXISTE,certificacion-energetica-de-edificios-en-alicante.csv,139
49321,2010.0,3560.0,VIVIENDA INDIVIDUAL,CAMPELLO (EL),ALICANTE,EXISTE,certificacion-energetica-de-edificios-en-alicante.csv,210
48857,1968.0,12550.0,VIVIENDA INDIVIDUAL,ALMAZORA/ALMASSORA,CASTELLÓN,EXISTE,certificacion-energetica-de-edificios-en-castellon.csv,159
